"state","week","prop_infected","prop_infected_lo","prop_infected_hi"
"AK",2020-05-02,0.0188121521402354,0.0068169522703268,0.11953457057248
"AK",2020-05-09,0.0209102340567955,0.00822815004432505,0.109558295855151
"AK",2020-05-16,0.0227077836027331,0.00962798003212741,0.101126993300649
"AK",2020-05-23,0.0247341254481318,0.011683033913401,0.0906293906713933
"AK",2020-05-30,0.0260558137725913,0.0134806656881893,0.0838880046163313
"AK",2020-06-06,0.0275437945427995,0.0154770729331367,0.0806736571387108
"AK",2020-06-13,0.0291344036125551,0.0177024490475072,0.077788900211495
"AK",2020-06-20,0.0312129353747058,0.0203642833100681,0.0752560610499397
"AK",2020-06-27,0.0327601810516535,0.0212426494686721,0.0715859525091649
"AK",2020-07-04,0.0343181427678926,0.0211651741495352,0.0687117393885711
"AK",2020-07-11,0.0370545613817468,0.0215561302354265,0.0712612261739088
"AK",2020-07-18,0.0352336124282017,0.0225563997962229,0.0649213645532009
"AK",2020-07-25,0.0318464843477843,0.0232224325172564,0.0594234422548823
"AK",2020-08-01,0.0348479670173106,0.0254419091420503,0.0628875591762829
"AK",2020-08-08,0.0359616083792991,0.0263741677470497,0.0645163213338535
"AK",2020-08-15,0.0385087526983479,0.0279645910282012,0.0672373771896718
"AK",2020-08-22,0.0403932668751572,0.0292086306212192,0.0699270436647267
"AK",2020-08-29,0.0421710684541153,0.0304107025293267,0.0720395168989048
"AK",2020-09-05,0.0434047306258711,0.0316899225594627,0.0736949163859586
"AK",2020-09-12,0.0443400917505263,0.0327310424188708,0.0749107579943906
"AK",2020-09-19,0.0452994015923405,0.034015472729451,0.0760788522182463
"AK",2020-09-26,0.0477535952467503,0.0357622383436465,0.0793343459713462
"AK",2020-10-03,0.0499868521130725,0.0378120387927038,0.0817364738617126
"AK",2020-10-10,0.0536323671131517,0.0402463514057115,0.0863537329143559
"AK",2020-10-17,0.0573339546803543,0.0429815945750354,0.0907881967090214
"AK",2020-10-24,0.062076272515566,0.0465004501262123,0.0958951603830275
"AK",2020-10-31,0.0694298697629922,0.0527529632221129,0.103630006637972
