"state","survey_round","week","week_decimal","survey_midpoint","n_total","n_positive","n_negative","seroprevalence","cases","deaths","cases_cumulative","deaths_cumulative","cases_cumulative_perc","deaths_cumulative_perc","excess_deaths_difference_perc","hospitalisation_cumulative_perc","tests_total_cumulative_perc","vaccinated_cumulative_perc","vaccinated_dose1_cumulative_perc","Abbott_Architect_perc","Roche_Elecsys_perc","Ortho_VITROS_perc","cases_00_19_perc","cases_20_49_perc","cases_50_69_perc","cases_70_perc","state_population"
"AK",NA,2020-01-25,2020.06557377049,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00386549232055526,NA,NA,0,0,NA,NA,NA,0,100,0,0,698488
"AK",NA,2020-02-01,2020.08469945355,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00386549232055526,NA,NA,0,0,NA,NA,NA,0,100,0,0,698488
"AK",NA,2020-02-08,2020.10382513661,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00458132423176919,NA,NA,0,0,NA,NA,NA,0,100,0,0,698488
"AK",NA,2020-02-15,2020.12295081967,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00486765699625477,NA,NA,0,0,NA,NA,NA,0,100,0,0,698488
"AK",NA,2020-02-22,2020.14207650273,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00486765699625477,NA,NA,0,0,NA,NA,NA,0,50,25,25,698488
"AK",NA,2020-02-29,2020.16120218579,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00486765699625477,NA,NA,0,0,NA,NA,NA,0,41.8604651162791,39.5348837209302,18.6046511627907,698488
"AK",NA,2020-03-07,2020.18032786885,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00486765699625477,NA,0.00715831911213936,0,0,NA,NA,NA,4.11764705882353,47.6470588235294,37.6470588235294,10.5882352941176,698488
"AK",NA,2020-03-14,2020.19945355191,NA,NA,NA,NA,NA,1,0,1,0,0.000143166382242787,0,0.00586982167195428,NA,0.0611320452176702,0,0,NA,NA,NA,5.03978779840849,48.5411140583554,35.8090185676393,10.6100795755968,698488
"AK",NA,2020-03-21,2020.21857923497,NA,NA,NA,NA,NA,14,0,15,0,0.00214749573364181,0,0.00586982167195428,NA,0.369941931715362,0,0,NA,NA,NA,5.37634408602151,49.4623655913979,34.8694316436252,10.2918586789555,698488
"AK",NA,2020-03-28,2020.23770491803,NA,NA,NA,NA,NA,87,2,102,2,0.0146029709887643,0.000286332764485575,0.00615615443643985,0,0.810751222640904,0,0,NA,NA,NA,5.92515592515593,50.3118503118503,34.1995841995842,9.56340956340956,698488
"AK",NA,2020-04-04,2020.25683060109,NA,NA,NA,NA,NA,69,3,171,5,0.0244814513635166,0.000715831911213936,0.0078741510233533,0,1.33731717652988,0,0,NA,NA,NA,6.484375,51.015625,33.4375,9.0625,698488
"AK",NA,2020-04-11,2020.27595628415,NA,NA,NA,NA,NA,87,3,258,8,0.0369369266186391,0.0011453310579423,0.00744465187662494,0,1.79845609373389,0,0,NA,NA,NA,6.99208443271768,51.2532981530343,32.8496042216359,8.90501319261214,698488
"AK",NA,2020-04-18,2020.29508196721,NA,NA,NA,NA,NA,57,1,315,9,0.045097410406478,0.00128849744018509,0.00730148549438215,0,2.22995956981365,0,0,NA,NA,NA,7.40960284528749,51.4522821576764,32.5429756965027,8.59513930053349,698488
"AK",NA,2020-04-25,2020.31420765027,NA,NA,NA,NA,NA,25,0,340,9,0.0486765699625477,0.00128849744018509,0.00730148549438215,0,2.84557501345764,0,0,NA,NA,NA,7.8420467185762,51.5572858731924,32.202447163515,8.39822024471635,698488
"AK",NA,2020-05-02,2020.33333333333,NA,NA,NA,NA,NA,26,0,366,9,0.0523988959008601,0.00128849744018509,0.0078741510233533,0,3.59419202620517,0,0,NA,NA,NA,8.17409766454352,51.5392781316348,31.9002123142251,8.3864118895966,698488
"AK",NA,2020-05-09,2020.35245901639,NA,NA,NA,NA,NA,13,0,379,9,0.0542600588700164,0.00128849744018509,0.00858998293456724,0,4.58733721982339,0,0,NA,NA,NA,8.66462793068298,51.3251783893986,31.6004077471967,8.40978593272171,698488
"AK",NA,2020-05-16,2020.37158469945,NA,NA,NA,NA,NA,9,0,388,9,0.0555485563102015,0.00128849744018509,0.00858998293456724,0,5.66981823596111,0,0,NA,NA,NA,9.27687916270219,51.0941960038059,31.1607992388202,8.46812559467174,698488
"AK",NA,2020-05-23,2020.39071038251,NA,NA,NA,NA,NA,20,0,408,9,0.0584118839550572,0.00128849744018509,0.00858998293456724,0,7.26898672561304,0,0,NA,NA,NA,9.74775545104746,51.3039760581445,30.312099187687,8.63616930312099,698488
"AK",NA,2020-05-30,2020.40983606557,NA,NA,NA,NA,NA,27,0,435,9,0.0622773762756125,0.00128849744018509,0.0103079795214807,0,8.7216960062306,0,0,NA,NA,NA,10.1047904191617,51.8338323353293,29.4161676646707,8.64520958083832,698488
"AK",NA,2020-06-06,2020.42896174863,NA,NA,NA,NA,NA,101,1,536,10,0.076737180882134,0.00143166382242787,0.0101648131392379,0,10.4250896221553,0,0,NA,NA,NA,10.5878531990906,52.5495290678792,28.4507957128938,8.41182202013641,698488
"AK",NA,2020-06-13,2020.44808743169,NA,NA,NA,NA,NA,123,2,659,12,0.0943466458979968,0.00171799658691345,0.0101648131392379,0,12.3657099334563,0,0,NA,NA,NA,10.8174386920981,53.6239782016349,27.4931880108992,8.06539509536785,698488
"AK",NA,2020-06-20,2020.46721311475,NA,NA,NA,NA,NA,113,0,772,12,0.110524447091432,0.00171799658691345,0.0111669778149374,0,15.358173655095,0,0,NA,NA,NA,10.9917170360421,54.8018804566823,26.5726438325498,7.63375867472577,698488
"AK",NA,2020-06-27,2020.48633879781,NA,NA,NA,NA,NA,154,1,926,13,0.132572069956821,0.00186116296915623,0.0115964769616658,0,18.7928783314817,0,0,NA,NA,NA,11.7605004468275,56.1751563896336,25.1653261840929,6.89901697944593,698488
"AK",NA,2020-07-04,2020.50546448087,NA,NA,NA,NA,NA,214,1,1140,14,0.163209675756778,0.00200432935139902,0.011453310579423,0,22.6837111016939,0,0,NA,NA,NA,12.6216330559865,57.1710619094627,23.776618248484,6.43068678606685,698488
"AK",NA,2020-07-11,2020.52459016393,NA,NA,NA,NA,NA,313,1,1453,15,0.20802075339877,0.00214749573364181,0.0137439726953076,0,27.0658908957634,0,0,NA,NA,NA,13.3449439425275,57.5269402416458,23.0543158811364,6.07379993469032,698488
"AK",NA,2020-07-18,2020.54371584699,NA,NA,NA,NA,NA,523,3,1976,18,0.282896771311748,0.00257699488037017,0.0140303054597932,0.253036437246964,31.9677646573742,0,0,NA,NA,NA,14.0326741186586,57.6440240756664,22.4849527085125,5.83834909716251,698488
"AK",NA,2020-07-25,2020.56284153005,NA,NA,NA,NA,NA,648,3,2624,21,0.375668587005074,0.00300649402709853,0.0148893037532499,1.44817073170732,37.5604162133065,0,0,NA,NA,NA,14.5874263261297,57.5989334830199,22.0530451866405,5.76059500420993,698488
"AK",NA,2020-08-01,2020.58196721311,NA,NA,NA,NA,NA,905,5,3529,26,0.505234162934796,0.00372232593831247,0.0183252969270768,1.61518843865118,42.6345191327553,0,0,NA,NA,NA,14.959330425557,57.3440999646352,21.8967346457621,5.79983496404574,698488
"AK",1,2020-08-08,2020.60109289617,2020-08-08,242,1,241,0.3,534,4,4063,30,0.581685011052445,0.00429499146728362,0.020186459896233,2.11666256460743,47.7444136477649,0,0,0.4,0,99.6,15.2159569608689,57.0471501801756,21.9103689793432,5.82652387961224,698488
"AK",2,2020-08-15,2020.62021857923,2020-08-19,704,9,695,1.3,541,6,4604,36,0.659138023845793,0.00515398976074034,0.0193274616027763,2.34578627280626,54.1532567488633,0,0,4.3,0,95.7,15.3184397802,56.8282136744438,21.96648950545,5.88685703990631,698488
"AK",NA,2020-08-22,2020.6393442623,NA,NA,NA,NA,NA,513,4,5117,40,0.732582377936343,0.00572665528971149,0.0234792866878171,2.67735000977135,59.8093310121291,0,0,NA,NA,NA,15.3066601807937,56.7513883821801,22.0519680570757,5.88998337995055,698488
"AK",3,2020-08-29,2020.65846994536,2020-09-02,610,6,604,1,514,6,5631,46,0.806169898409135,0.00658565358316822,0.0239087858345455,2.98348428343101,65.8904662642737,0,0,38.7,0,61.3,15.2695051106699,56.8424148834473,22.0457386572542,5.84234134862858,698488
"AK",NA,2020-09-05,2020.67759562842,NA,NA,NA,NA,NA,535,2,6166,48,0.882763912909026,0.00687198634765379,0.0264857807149156,3.29224781057412,71.4803976589433,0,0,NA,NA,NA,15.200161203654,56.9955668995164,22.0412412681354,5.76303062869425,698488
"AK",4,2020-09-12,2020.69672131148,2020-09-13,681,3,678,0.4,424,3,6590,51,0.943466458979968,0.00730148549438215,0.0263426143326729,3.55083459787557,76.5085441696922,0,0,59.5,0,40.5,15.1240224828935,57.1297653958944,22.0521749755621,5.69403714565005,698488
"AK",NA,2020-09-19,2020.71584699454,NA,NA,NA,NA,NA,570,0,7160,51,1.02507129685836,0.00730148549438215,0.028919609213043,3.79888268156425,81.9939641053247,0,0,NA,NA,NA,15.2261223591549,57.1797975352113,21.9712808098592,5.62279929577465,698488
"AK",5,2020-09-26,2020.7349726776,2020-09-30,994,9,985,0.9,769,6,7929,57,1.13516624480306,0.00816048378783888,0.0320692696223843,3.84663892041872,86.8155215264972,0,0,44.9,0,55.1,15.3906498982619,57.0616067269741,21.9386629403545,5.60908043440955,698488
"AK",NA,2020-10-03,2020.75409836066,NA,NA,NA,NA,NA,858,1,8787,58,1.25800300076737,0.00830365017008166,0.0319261032401416,3.84659155570729,92.3832621319192,0,0,NA,NA,NA,15.7701711491443,56.6679535023377,21.9984557971947,5.5634195513233,698488
"AK",6,2020-10-10,2020.77322404372,2020-10-14,971,15,956,1.5,1085,4,9872,62,1.4133385255008,0.00887631569905281,0.035648429178454,3.80875202593193,98.4837248456666,0,0,59.5,0,40.5,16.1837534185823,56.0943159139626,22.1173035701087,5.60462709734644,698488
"AK",NA,2020-10-17,2020.79234972678,NA,NA,NA,NA,NA,1382,7,11254,69,1.61119446576033,0.00987848037475232,0.0366505938541535,3.89194952905634,105.785353506431,0,0,NA,NA,NA,16.6807379612258,55.5456535334584,22.1122576610382,5.66135084427767,698488
"AK",NA,2020-10-24,2020.81147540984,NA,NA,NA,NA,NA,1630,7,12884,76,1.84455566881607,0.0108806450504518,0.0376527585298531,3.81092828314188,113.906752871918,0,0,NA,NA,NA,17.05895392961,55.1710198599502,22.0767535566654,5.69327265377443,698488
"AK",7,2020-10-31,2020.8306010929,2020-11-06,1413,89,1324,6.3,2822,12,15706,88,2.24857119950522,0.0125986416373653,0.0386549232055526,3.56551636317331,121.565867989142,0,0,52.8,0,47.2,17.3878759073626,54.9148807466298,21.9992222606291,5.6980210853785,698488
"AK",NA,2020-11-07,2020.84972677596,NA,NA,NA,NA,NA,2845,4,18551,92,2.65587955698595,0.0131713071663364,0.0418045836148939,3.50924478464773,131.02787735795,0,0,NA,NA,NA,17.6150473816803,54.701858509427,21.9363283456308,5.74676576326194,698488
"AK",NA,2020-11-14,2020.86885245902,NA,NA,NA,NA,NA,3577,13,22128,105,3.1679857062684,0.0150324701354927,0.0435225802018073,3.470715835141,140.246217544181,0,0,NA,NA,NA,17.7425105637275,54.5604199698071,21.9118639953269,5.78520547113846,698488
"AK",8,2020-11-21,2020.88797814208,2020-11-21,621,40,581,6.5,4163,11,26291,116,3.76398735554512,0.0166073003401633,0.0465290742289059,3.3661709330189,151.037383605731,0,0,42.4,0,57.6,17.8103375969805,54.4093363388551,21.9549433843573,5.82538267980709,698488
"AK",9,2020-11-28,2020.90710382514,2020-11-30,901,79,822,8.8,4419,26,30710,142,4.396639598676,0.0203296262784758,0.0463859078466631,3.37023770758711,161.421670808947,0,0,59.8,0,40.2,17.8599792467377,54.2518101134473,22.0199069001699,5.86830373964511,698488
